model_name,technique_name,nutrient,mae,mape,pearson
Gemma-SEA-LION v4 4B,few-shot,carbohydrate_g,21.60142039431842,343.9395638754728,0.04443569279727358
Gemma-SEA-LION v4 4B,structured-output,carbohydrate_g,17.892270871985158,372.2051688190855,0.09244422498457001
Gemma-SEA-LION v4 4B,zero-shot,carbohydrate_g,19.19661807580175,360.88889753347814,0.06349740853073185
Llama 3.2 3B Instruct,chain-of-thought,carbohydrate_g,262.0600276395799,3860.5806006444827,-0.0038369627777711792
Llama 3.2 3B Instruct,few-shot,carbohydrate_g,19.645248070562296,207.21629429800595,0.035281218540804855
Llama 3.2 3B Instruct,structured-output,carbohydrate_g,13.695814737934615,151.92175355161714,0.0830081317628427
Llama 3.2 3B Instruct,zero-shot,carbohydrate_g,15.072507301729951,193.5194094808056,0.07011413531177547
MedGemma 4B,chain-of-thought,carbohydrate_g,15.364715530497183,201.34341134852733,0.04342798416562993
MedGemma 4B,few-shot,carbohydrate_g,14.373050415888644,134.98555979210033,0.05950379391599049
MedGemma 4B,structured-output,carbohydrate_g,15.61274388199799,206.7320948792402,0.05131893340848776
MedGemma 4B,zero-shot,carbohydrate_g,15.38680423280423,175.81494732289607,0.06835575519861116
Phi-4-mini 3.8B Instruct,chain-of-thought,carbohydrate_g,13.559496238141968,82.14583488599166,0.005091025103191669
Phi-4-mini 3.8B Instruct,few-shot,carbohydrate_g,12.785421245421245,84.03540903540903,
Phi-4-mini 3.8B Instruct,structured-output,carbohydrate_g,13.30753305629014,83.49074423876087,
Phi-4-mini 3.8B Instruct,zero-shot,carbohydrate_g,18.405608276846237,455.96714009639174,-0.015325027393003114
Qwen 2.5 3B Instruct,chain-of-thought,carbohydrate_g,14.987977492966552,150.14494647767856,-0.019615472924428237
Qwen 2.5 3B Instruct,few-shot,carbohydrate_g,15.267087378640776,83.8663620788121,
Qwen 2.5 3B Instruct,structured-output,carbohydrate_g,14.082900544568643,89.40789311334113,0.017347148438025185
Qwen 2.5 3B Instruct,zero-shot,carbohydrate_g,13.739273918741809,91.67308705594387,-0.030942200218518116
